DocumentType,Nationality,DocumentNumber,DocumentExpiryDate,IssuingState,FamilyName,GivenName,DateofBirth,Sex,CountryofBirth,TravelType,Override,Response
***VERSION 4,,,,,,,,,,,,
*** HEADER,,,,,,,,,,,,
*** BATCH,APP,,,,,,,,,,,
*TYPE,P,,,,,,,,,,,
*DIRECTION,I,,,,,,,,,,,
*FLIGHT,ZV005,,,,,,,,,,,
*DEP PORT,TPE,,,,,,,,,,,
*DEP DATE,19-Nov-2015,,,,,,,,,,,
*DEP TIME,0640,,,,,,,,,,,
*ARR PORT,DMK,,,,,,,,,,,
*ARR DATE,19-Nov-2015,,,,,,,,,,,
*ARR TIME,0935,,,,,,,,,,,
*TB PORT,,,,,,,,,,,,
*TB DATE,,,,,,,,,,,,
*TB TIME,,,,,,,,,,,,
,,,,,,,,,,,,
***START,,,,,,,,,,,,
P,HK,123456,01-Mar-2017,,CCAD,VVSTT,01-Jan-1999,M,HK,N,,
P,HK,123456,01-Mar-2017,,CCAD,VVSTT,01-Jan-1999,M,HK,N,,
P,HK,123456,01-Mar-2017,,CCAD,VVSTT,01-Jan-1999,M,HK,N,,
P,,,,,HHHH,TEST,,M,,N,,
P,TW,testsdfs,03-Feb-2017,,KAO,CHILD,03-Mar-2001,M,TW,N,,
P,TW,AAAAA,03-Feb-2017,,KAOA,CHILDA,03-Mar-1993,M,TW,N,,
P,SG,BBB,02-Feb-2022,,KAOB,CHILDB,02-Feb-2012,F,SG,N,,
P,TW,ccc,03-Mar-2023,,KAOC,CHILDC,03-Mar-2013,F,TW,N,,
P,CN,haha,,,KAOM,CHILDM,01-Apr-2006,F,CN,N,,
P,TW,,,,TEST,A,12-Nov-1987,M,TW,N,,
P,,,,,TEST,ACCOUNT,,M,,N,,
P,,,,,TEST,B,,F,,N,,
P,,,,,TEST,C,,F,,N,,
P,TW,test,12-Aug-2019,,WAYNE,KAO,18-Feb-1987,M,TW,N,,
P,TW,test,12-Aug-2019,,WAYNE,KAO,18-Feb-1987,M,TW,N,,
P,TW,test,12-Aug-2019,,WAYNEA,KAOA,18-Mar-1987,M,TW,N,,
P,TW,AA,01-Jan-2021,,WAYNEA,KAOA,01-Jan-1991,M,TW,N,,
***END,,,,,,,,,,,,
